question,qcode,group,ID,Correct,E1,Diff,C1,E2,C2,AEE1i,AEE2i,Ii
jellybean2,101,57,41442,888,352,6,2,500,2,536,388,1
jellybean2,101,57,29147,888,1000,2,6,800,6,112,88,1
jellybean2,101,57,33246,888,500,6,2,600,3,388,288,1
jellybean2,101,57,48265,888,500,4,5,500,5,388,388,0
jellybean2,101,58,49469,888,1088,5,5,500,5,200,388,0
jellybean2,101,58,41784,888,400,5,3,500,4,488,388,1
jellybean2,101,58,45669,888,420,6,4,450,5,468,438,1
jellybean2,101,58,41802,888,500,5,4,500,4,388,388,0
jellybean2,101,58,42992,888,156,6,3,500,4,732,388,1
jellybean2,101,59,48871,888,300,5,4,475,4,588,413,1
jellybean2,101,59,44302,888,800,7,3,850,3,88,38,1
jellybean2,101,59,23107,888,571,5,6,571,5,317,317,0
jellybean2,101,59,49811,888,400,5,4,511,4,488,377,1
jellybean2,101,60,46132,888,700,6,3,700,3,188,188,0
jellybean2,101,60,46991,888,700,7,1,700,1,188,188,0
jellybean2,101,60,47540,888,1200,5,5,1000,4,312,112,1
jellybean2,101,60,49323,888,400,6,3,700,5,488,188,1
jellybean2,101,61,41302,888,417,4,4,420,4,471,468,1
jellybean2,101,61,44915,888,350,4,4,400,5,538,488,1
jellybean2,101,61,49863,888,650,5,3,140,4,238,748,0
jellybean2,101,61,49279,888,322,5,3,95,4,566,793,0
jellybean2,101,62,46795,888,450,6,5,500,5,438,388,1
jellybean2,101,62,46018,888,700,5,4,750,4,188,138,1
jellybean2,101,62,49233,888,450,6,2,550,3,438,338,1
jellybean2,101,62,47479,888,550,5,3,575,3,338,313,1
jellybean2,101,63,46207,888,240,6,2,400,2,648,488,1
jellybean2,101,63,46295,888,1200,6,5,1500,5,312,612,0
jellybean2,101,63,49824,888,130,6,4,264,4,758,624,1
jellybean2,101,63,49044,888,480,6,3,500,2,408,388,1
jellybean2,101,64,49210,888,160,5,4,275,5,728,613,1
jellybean2,101,64,47551,888,318,5,4,420,4,570,468,1
jellybean2,101,64,49404,888,420,5,4,420,3,468,468,0
jellybean2,101,64,48699,888,370,5,4,400,4,518,488,1
jellybean2,101,64,45804,888,560,4,5,560,5,328,328,0
jellybean2,101,65,49617,888,600,6,4,700,3,288,188,1
jellybean2,101,65,43543,888,1000,4,4,1000,4,112,112,0
jellybean2,101,65,48777,888,600,6,3,750,3,288,138,1
jellybean2,101,65,44618,888,1050,6,4,1200,3,162,312,0
jellybean2,101,66,49665,888,160,6,5,425,4,728,463,1
jellybean2,101,66,49548,888,540,5,3,540,4,348,348,0
jellybean2,101,66,49843,888,871,5,3,725,4,17,163,0
jellybean2,101,66,46551,888,750,6,4,757,4,138,131,1
jellybean2,101,66,41405,888,275,5,5,450,3,613,438,1
jellybean2,101,67,7873,888,433,6,5,480,3,455,408,1
jellybean2,101,67,48647,888,130,5,4,395,4,758,493,1
jellybean2,101,67,48726,888,300,6,3,450,5,588,438,1
jellybean2,101,67,27235,888,300,7,3,550,4,588,338,1
jellybean2,101,68,42915,888,504,6,2,550,3,384,338,1
jellybean2,101,68,48364,888,500,5,3,650,4,388,238,1
jellybean2,101,68,47678,888,800,6,2,575,3,88,313,0
jellybean2,101,68,40540,888,651,5,5,675,3,237,213,1
jellybean2,101,69,49432,888,650,5,3,850,2,238,38,1
jellybean2,101,69,40355,888,500,5,4,500,3,388,388,0
jellybean2,101,69,47314,888,225,4,4,250,4,663,638,1
jellybean2,101,69,49215,888,247,5,3,542,4,641,346,1
jellybean2,101,69,49165,888,750,6,5,700,5,138,188,0
jellybean2,101,70,46006,888,650,5,4,480,3,238,408,0
jellybean2,101,70,40975,888,150,5,5,500,4,738,388,1
jellybean2,101,70,41436,888,400,5,5,500,2,488,388,1
jellybean2,101,70,47622,888,560,6,3,560,5,328,328,0
jellybean2,101,70,49132,888,600,6,3,572,5,288,316,0
jellybean2,101,71,48865,888,1909,5,4,1200,4,1021,312,1
jellybean2,101,71,49727,888,3000,6,4,2018,3,2112,1130,1
jellybean2,101,71,48763,888,253,6,2,432,3,635,456,1
jellybean2,101,71,40461,888,354,5,3,505,3,534,383,1
jellybean2,101,71,47398,888,130,5,5,300,3,758,588,1
jellybean2,101,72,49787,888,750,7,1,400,1,138,488,0
jellybean2,101,72,44143,888,500,5,3,500,4,388,388,0
jellybean2,101,72,49865,888,550,5,4,550,5,338,338,0
jellybean2,101,72,49310,888,450,5,5,500,5,438,388,1
jellybean2,101,72,45727,888,450,5,3,550,5,438,338,1
jellybean2,101,73,46881,888,400,5,2,450,3,488,438,1
jellybean2,101,73,49703,888,250,5,5,450,4,638,438,1
jellybean2,101,73,44885,888,365,4,5,460,5,523,428,1
jellybean2,101,73,46627,888,550,6,3,500,5,338,388,0
jellybean2,101,73,42839,888,480,4,4,500,4,408,388,1
jellybean2,101,74,16362,888,325,7,1,500,1,563,388,1
jellybean2,101,74,45584,888,726,6,1,750,2,162,138,1
jellybean2,101,74,47778,888,450,6,3,560,4,438,328,1
jellybean2,101,74,43722,888,525,6,3,525,3,363,363,0
jellybean2,101,74,49113,888,602,6,4,625,3,286,263,1
jellybean2,101,75,48096,888,250,6,4,500,3,638,388,1
jellybean2,101,75,19077,888,700,6,4,800,4,188,88,1
jellybean2,101,75,48557,888,1200,5,5,1200,5,312,312,0
jellybean2,101,75,47375,888,686,4,5,825,5,202,63,1
jellybean2,101,75,49398,888,500,5,5,750,5,388,138,1
jellybean2,101,76,47537,888,350,6,5,350,2,538,538,0
jellybean2,101,76,49141,888,425,6,2,300,4,463,588,0
jellybean2,101,76,42224,888,150,6,3,300,2,738,588,1
jellybean2,101,76,48853,888,300,5,4,315,5,588,573,1
jellybean2,101,77,15312,888,325,5,5,400,3,563,488,1
jellybean2,101,77,39658,888,600,5,5,700,5,288,188,1
jellybean2,101,77,45657,888,250,6,4,320,5,638,568,1
jellybean2,101,77,49722,888,780,5,3,580,3,108,308,0
jellybean2,101,77,43682,888,270,5,5,330,4,618,558,1
jellybean2,101,78,49819,888,720,5,5,720,5,168,168,0
jellybean2,101,78,41919,888,440,7,1,720,1,448,168,1
jellybean2,101,78,42439,888,1200,6,2,800,4,312,88,1
jellybean2,101,78,42912,888,730,7,2,730,5,158,158,0
jellybean2,101,78,48910,888,450,7,3,732,5,438,156,1
jellybean2,101,79,29534,888,70,2,6,350,5,818,538,1
jellybean2,101,79,38286,888,375,5,3,350,3,513,538,0
jellybean2,101,79,45851,888,350,5,3,350,5,538,538,0
jellybean2,101,79,48147,888,1000,6,4,800,3,112,88,1
jellybean2,101,80,47505,888,750,3,5,750,5,138,138,0
jellybean2,101,80,43307,888,1100,5,3,700,4,212,188,1
jellybean2,101,80,44194,888,360,5,5,525,5,528,363,1
jellybean2,101,80,48388,888,227,3,5,394,5,661,494,1
jellybean2,101,80,48725,888,347,7,2,472,3,541,416,1
jellybean2,101,81,49183,888,574,4,5,532,5,314,356,0
jellybean2,101,81,43305,888,400,5,5,476,5,488,412,1
jellybean2,101,81,45893,888,850,5,4,525,5,38,363,0
jellybean2,101,81,31758,888,200,5,3,475,2,688,413,1
jellybean2,101,82,46096,888,562,5,5,562,5,326,326,0
jellybean2,101,82,45622,888,380,5,3,409,3,508,479,1
jellybean2,101,82,46037,888,300,5,4,500,4,588,388,1
jellybean2,101,82,46007,888,400,4,5,500,4,488,388,1
jellybean2,101,83,45999,888,575,5,2,500,4,313,388,0
jellybean2,101,83,43112,888,300,4,4,400,4,588,488,1
jellybean2,101,83,49217,888,450,4,5,480,5,438,408,1
jellybean2,101,83,40947,888,5000,5,4,700,4,4112,188,1
jellybean2,101,84,16387,888,404,7,3,650,2,484,238,1
jellybean2,101,84,49504,888,800,5,3,1200,3,88,312,0
jellybean2,101,84,44807,888,1000,5,4,1000,5,112,112,0
jellybean2,101,84,49368,888,1000,7,3,1000,3,112,112,0
jellybean2,101,85,46776,888,740,3,5,740,5,148,148,0
jellybean2,101,85,48809,888,400,6,2,500,3,488,388,1
jellybean2,101,85,49759,888,500,6,2,500,3,388,388,0
jellybean2,101,85,48085,888,480,5,3,660,3,408,228,1
jellybean2,101,86,36285,888,700,6,2,950,2,188,62,1
jellybean2,101,86,48346,888,745,6,3,870,4,143,18,1
jellybean2,101,86,48021,888,750,6,5,780,5,138,108,1
jellybean2,101,86,46515,888,1000,5,4,1200,4,112,312,0
jellybean2,101,86,46988,888,1000,5,4,1024,4,112,136,0
jellybean2,101,87,48984,888,200,4,4,220,4,688,668,1
jellybean2,101,87,46189,888,420,7,2,410,2,468,478,0
jellybean2,101,87,49211,888,150,5,4,175,3,738,713,1
jellybean2,101,87,43541,888,500,5,4,400,3,388,488,0
jellybean2,101,88,44507,888,234,4,4,250,4,654,638,1
jellybean2,101,88,49231,888,600,5,3,350,3,288,538,0
jellybean2,101,88,43682,888,200,7,2,212,2,688,676,1
jellybean2,101,88,49809,888,365,6,4,365,4,523,523,0
jellybean2,101,89,48558,888,825,6,2,800,2,63,88,0
jellybean2,101,89,49755,888,480,5,4,500,4,408,388,1
jellybean2,101,89,42963,888,1000,6,3,1000,3,112,112,0
jellybean2,101,89,42234,888,576,6,4,600,3,312,288,1
jellybean2,101,90,46221,888,250,4,5,350,4,638,538,1
jellybean2,101,90,45295,888,275,5,4,375,5,613,513,1
jellybean2,101,90,45524,888,225,6,2,400,5,663,488,1
jellybean2,101,90,36251,888,800,7,2,375,4,88,513,0
jellybean2,101,91,48548,888,1400,5,4,800,4,512,88,1
jellybean2,101,91,41492,888,400,6,3,800,4,488,88,1
jellybean2,101,91,43535,888,425,6,5,800,6,463,88,1
jellybean2,101,91,48531,888,452,6,3,800,5,436,88,1
jellybean2,101,91,48817,888,750,5,3,800,3,138,88,1
jellybean2,101,92,1164,888,250,3,5,300,5,638,588,1
jellybean2,101,92,45807,888,800,6,4,550,4,88,338,0
jellybean2,101,92,49131,888,250,5,2,350,2,638,538,1
jellybean2,101,92,46550,888,1010,5,5,752,4,122,136,0
jellybean2,101,93,48375,888,650,5,2,875,3,238,13,1
jellybean2,101,93,43358,888,900,5,5,850,5,12,38,0
jellybean2,101,93,48306,888,800,6,3,860,5,88,28,1
jellybean2,101,93,48970,888,600,6,3,850,5,288,38,1
jellybean2,101,94,49218,888,900,5,5,900,5,12,12,0
jellybean2,101,94,48620,888,550,5,3,600,3,338,288,1
jellybean2,101,94,45916,888,340,5,5,170,3,548,718,0
jellybean2,101,94,48702,888,792,5,3,700,3,96,188,0
jellybean2,101,95,49588,888,278,5,3,390,2,610,498,1
jellybean2,101,95,44351,888,550,5,2,600,3,338,288,1
jellybean2,101,95,32386,888,1000,6,2,850,4,112,38,1
jellybean2,101,95,44351,888,550,6,2,800,3,338,88,1
jellybean2,101,96,32122,888,250,6,5,300,5,638,588,1
jellybean2,101,96,49512,888,300,6,3,300,5,588,588,0
jellybean2,101,96,46226,888,210,5,4,295,5,678,593,1
jellybean2,101,96,44868,888,400,5,3,400,5,488,488,0
jellybean2,101,96,49512,888,300,4,5,330,4,588,558,1
jellybean2,101,97,49563,888,800,7,2,600,3,88,288,0
jellybean2,101,97,40318,888,420,6,2,650,3,468,238,1
jellybean2,101,97,48134,888,200,5,3,500,4,688,388,1
jellybean2,101,98,39508,888,400,4,4,500,4,488,388,1
jellybean2,101,98,44327,888,750,6,4,525,3,138,363,0
jellybean2,101,98,39508,888,400,5,5,520,5,488,368,1
jellybean2,101,98,42938,888,450,7,1,500,3,438,388,1
jellybean2,101,99,49655,888,350,6,5,375,5,538,513,1
jellybean2,101,99,30033,888,600,4,4,540,4,288,348,0
jellybean2,101,99,48931,888,375,5,3,460,6,513,428,1
jellybean2,101,99,49560,888,350,6,4,400,4,538,488,1
jellybean2,101,100,38914,888,240,6,3,310,4,648,578,1
jellybean2,101,100,42918,888,300,4,4,320,4,588,568,1
jellybean2,101,100,48689,888,360,5,2,320,3,528,568,0
jellybean2,101,100,35749,888,315,6,2,322,2,573,566,1